「安全なウェブサイトの作り方 改訂第7版」（チェックリスト）,,,,,,,IPA（独立行政法人情報処理推進機構）,
,,,,,,,,
■ ウェブアプリケーションのセキュリティ実装 チェックリスト （1/3）,,,,,,,,
No,脆弱性の種類,,対策の性質,チェック,,実施項目,解説,
1,SQLインジェクション,,根本的解決,"※
□ 対応済
□ 未対策
□ 対応不要",□,SQL文の組み立ては全てプレースホルダで実装する。,1-(i)-a,
,,,,,□,SQL文の構成を文字列連結により行う場合は、アプリケーションの変数をSQL文のリテラルとして正しく構成する。,1-(i)-b,
,,,根本的解決,"□ 対応済
□ 未対策
□ 対応不要",,ウェブアプリケーションに渡されるパラメータにSQL文を直接指定しない。,1-(ii),
,,,保険的対策,"□ 対応済
□ 未対策
□ 対応不要",,エラーメッセージをそのままブラウザに表示しない。,1-(iii),
,,,保険的対策,"□ 対応済
□ 未対策
□ 対応不要",,データベースアカウントに適切な権限を与える。,1-(iv),
2,OSコマンド・インジェクション,,根本的解決,"□ 対応済
□ 未対策
□ 対応不要",□,シェルを起動できる言語機能の利用を避ける。,2-(i),
,,,保険的対策,"□ 対応済
□ 未対策
□ 対応不要",□,シェルを起動できる言語機能を利用する場合は、その引数を構成する全ての変数に対してチェックを行い、あらかじめ許可した処理のみを実行する。,2-(ii),
3,パス名パラメータの未チェック／ディレクトリ・トラバーサル,,根本的解決,"※
□ 対応済
□ 未対策
□ 対応不要",□,外部からのパラメータでウェブサーバ内のファイル名を直接指定する実装を避ける。,3-(i)-a,
,,,,,□,ファイルを開く際は、固定のディレクトリを指定し、かつファイル名にディレクトリ名が含まれないようにする。,3-(i)-b,
,,,保険的対策,"□ 対応済
□ 未対策
□ 対応不要",,ウェブサーバ内のファイルへのアクセス権限の設定を正しく管理する。,3-(ii),
,,,保険的対策,"□ 対応済
□ 未対策
□ 対応不要",,ファイル名のチェックを行う。,3-(iii),
4,セッション管理の不備,,根本的解決,"□ 対応済
□ 未対策
□ 対応不要",,セッションIDを推測が困難なものにする。,4-(i),
